postal_code,locality,median_cadastral_income,median_area,median_rooms,median_number_floors,median_bathrooms,median_toilets,median_facades_number,median_primary_energy_consumption
2223,None,704.0,164.0,3.0,2.0,1.5,2.0,4.0,468.0
2230,None,659.0,142.0,2.0,3.0,1.0,2.0,4.0,112.0
2235,None,800.0,240.0,5.0,3.0,1.0,1.0,4.0,232.0
2240,None,1632.0,96.0,2.0,3.0,1.0,1.0,2.0,116.0
2243,None,800.0,479.5,5.5,3.0,4.0,4.0,4.0,145.0
2250,None,803.0,143.0,3.0,3.0,1.0,2.0,4.0,393.0
2260,None,800.0,133.0,3.0,2.0,1.0,1.0,3.0,225.0
2275,None,1076.0,340.0,4.0,3.0,1.0,1.0,3.0,90.0
2280,None,1051.0,171.0,3.0,3.0,1.0,2.0,3.0,69.0
2300,turnhout,1071.0,68.0,1.0,4.0,1.0,1.0,3.0,258.0
2310,None,800.0,107.0,2.0,2.0,1.0,1.0,4.0,232.0
2320,None,800.0,195.5,3.0,2.0,1.0,2.0,3.0,232.0
2322,None,800.0,181.0,4.0,3.0,1.0,2.0,3.0,232.0
2340,None,6741.0,618.0,6.0,3.0,3.0,1.0,4.0,185.0
2350,None,800.0,282.0,4.0,2.0,1.0,2.0,3.0,232.0
2360,None,1264.5,94.0,2.0,3.0,1.0,1.0,2.0,371.5
2370,None,237.0,106.0,3.0,3.0,1.0,1.0,3.0,547.0
2400,None,800.0,190.0,3.0,2.0,1.0,2.0,3.0,422.0
2430,None,800.0,78.5,1.5,2.0,1.0,1.0,3.0,232.0
2440,None,806.0,100.0,2.0,4.0,1.0,1.0,2.0,141.0
2450,None,1762.0,257.0,2.5,3.0,1.5,3.0,3.5,152.0
2460,None,800.0,99.0,2.0,3.0,1.0,1.0,3.0,232.0
2480,None,838.5,156.5,3.0,3.0,1.0,1.5,3.5,406.5
2490,None,800.0,171.0,3.0,3.0,1.0,1.0,3.0,649.0
2500,lier,983.0,95.0,2.0,3.0,1.0,1.0,2.0,262.0
2520,None,808.0,179.0,3.0,2.0,1.0,2.0,3.0,141.0
2530,None,900.0,134.0,3.0,2.0,1.0,1.0,3.0,152.0
2531,None,800.0,324.0,3.5,2.0,1.0,2.5,3.5,126.0
2547,None,800.0,100.0,2.0,2.0,1.0,1.0,3.0,397.0
2550,None,1098.0,109.0,3.0,2.0,1.0,1.0,3.0,209.5
2560,None,560.0,131.0,3.0,2.0,1.0,2.0,3.0,350.0
2570,None,752.0,201.0,3.0,2.0,1.0,2.0,3.0,327.0
2580,None,991.0,210.5,3.5,2.0,1.0,1.5,3.5,322.0
2590,None,800.0,137.5,3.0,3.0,1.0,1.0,3.0,232.0
2600,None,972.0,116.5,2.0,3.0,1.0,1.0,2.0,194.0
2610,None,820.0,102.0,2.0,2.0,1.0,1.0,2.0,210.0
2620,None,800.0,450.0,3.0,2.0,1.0,3.0,3.0,572.0
2627,None,800.0,130.0,3.0,3.0,1.0,1.0,3.0,232.0
2640,None,817.0,154.0,3.0,3.0,1.5,3.0,2.0,204.5
2650,None,5778.0,306.5,4.0,3.0,4.0,1.0,4.0,207.0
2660,None,657.5,100.0,2.0,3.0,1.0,1.0,2.0,201.0
2800,None,845.0,128.0,3.0,3.0,1.0,2.0,2.0,237.0
2801,None,319.0,125.0,3.0,3.0,1.0,2.0,3.5,801.0
2811,None,652.5,216.0,3.0,1.5,1.0,2.0,3.0,148.0
2812,None,902.0,167.0,3.0,2.0,1.0,2.0,3.0,0.0
2830,None,800.0,90.0,2.0,3.0,1.0,1.0,4.0,148.0
2840,None,596.0,104.0,2.0,3.0,1.0,1.5,2.0,188.0
2845,None,580.0,119.0,2.5,3.0,1.0,1.5,2.0,167.0
2850,None,800.0,165.5,3.0,5.0,1.0,1.0,3.0,210.0
2860,None,606.5,160.0,2.0,3.0,1.0,2.0,4.0,383.0
2861,None,909.0,217.0,2.0,2.0,1.0,1.0,4.0,488.0
2870,None,800.0,98.0,2.0,2.0,1.0,1.0,4.0,232.0
2880,None,1546.0,238.0,3.0,1.0,1.5,3.0,4.0,183.0
2890,None,800.0,201.5,4.0,2.0,1.0,1.5,2.5,83.5
2900,None,531.0,128.5,2.5,3.0,1.0,1.0,2.0,453.5
2920,None,811.0,93.0,2.0,2.0,1.0,1.0,2.0,159.0
2930,None,4204.0,240.5,3.5,3.0,1.5,1.0,3.0,183.5
2940,None,903.5,100.0,2.0,3.0,1.0,1.0,4.0,127.0
2950,None,904.0,144.0,3.0,3.0,1.0,2.0,2.0,220.0
2960,None,1093.5,175.0,3.0,2.0,1.0,2.0,4.0,297.0
2970,None,3629.0,189.0,3.5,3.0,1.5,2.0,3.0,237.0
2980,None,825.0,126.0,2.5,1.5,1.0,2.0,4.0,383.0
2990,None,1546.0,208.5,3.0,3.0,2.0,3.0,3.0,258.0
3000,None,719.5,90.0,2.0,4.0,1.0,1.0,2.0,190.5
3001,None,1233.0,179.0,3.0,2.0,1.0,2.0,3.0,160.0
3010,None,813.0,116.0,3.0,3.0,1.0,1.0,2.0,274.5
3012,None,1324.0,134.5,2.5,1.0,1.0,2.0,3.0,77.0
3018,None,800.0,310.0,4.0,5.0,2.0,3.0,2.5,357.5
3040,None,1543.0,228.0,4.0,1.0,1.0,3.0,4.0,298.0
3050,None,800.0,261.0,4.0,3.0,2.0,3.0,3.0,30.0
3070,None,1096.0,182.0,4.0,3.0,1.0,2.0,3.0,150.5
3071,None,2208.0,190.0,4.0,3.0,2.0,3.0,3.0,20.0
3078,None,2071.0,334.0,4.0,1.0,2.0,3.0,4.0,338.5
3080,None,1783.5,204.5,4.0,2.0,2.0,2.0,4.0,291.0
3090,None,2411.0,185.0,4.0,3.0,1.0,2.0,3.5,256.0
3110,None,800.0,102.0,2.0,3.0,1.0,2.0,3.0,120.0
3120,None,1444.5,191.5,4.0,3.0,1.0,1.5,4.0,497.0
3130,None,997.5,189.0,3.0,3.0,1.0,2.0,4.0,345.0
3140,None,1677.0,179.0,3.0,2.0,2.0,2.0,3.0,375.0
3150,None,969.0,105.0,3.0,3.0,1.0,1.0,2.0,146.0
3200,None,906.0,119.0,2.5,3.0,1.0,1.5,3.0,159.0
3202,None,800.0,94.0,2.0,3.0,1.0,1.0,4.0,232.0
3270,None,830.0,203.0,4.0,3.0,1.0,2.0,3.0,32.0
3290,None,800.0,149.0,3.0,3.0,2.0,2.0,3.0,30.0
3300,None,1216.5,188.0,3.0,3.0,1.0,2.0,2.0,358.5
3350,None,721.0,119.0,1.0,3.0,1.0,1.0,3.0,0.0
3390,None,2402.0,175.0,3.0,3.0,1.0,2.0,3.0,414.5
3391,None,800.0,161.0,3.0,3.0,1.0,1.0,3.0,232.0
3440,None,800.0,260.0,3.0,3.0,2.0,3.0,4.0,232.0
3450,None,800.0,421.0,3.0,3.0,1.0,1.0,4.0,481.0
3460,None,800.0,188.0,4.0,3.0,2.0,3.0,3.0,30.0
3470,None,800.0,88.0,2.0,3.0,1.0,1.0,3.0,232.0
3471,None,569.5,165.0,2.0,3.0,2.0,1.0,3.0,388.0
3500,None,1095.0,129.0,2.0,4.0,1.0,2.0,2.0,92.5
3510,None,2133.0,257.0,2.0,1.0,1.0,2.0,3.0,217.0
3511,None,1152.5,183.0,3.0,2.0,1.0,2.0,4.0,174.0
3512,None,800.0,181.0,3.0,3.0,1.0,2.0,3.0,5.0
3520,None,800.0,80.0,2.0,3.0,1.0,1.0,3.0,286.0
3530,None,760.5,162.5,3.0,2.0,1.0,2.0,3.0,206.0
3550,None,1448.5,162.0,3.0,2.0,1.0,2.0,3.0,264.0
3570,None,1089.0,220.0,3.0,3.0,2.0,1.0,4.0,256.0
3580,None,729.0,158.0,3.0,2.5,1.0,2.0,3.0,244.0
3581,None,770.0,186.0,3.0,2.0,1.0,2.0,3.0,330.0
3582,None,514.5,100.0,2.0,2.0,1.0,1.0,3.0,254.0
3583,None,715.0,168.0,3.0,2.0,1.0,2.0,3.0,367.5
3590,None,800.0,105.0,2.0,3.0,1.0,2.0,3.0,232.0
3600,None,800.0,104.0,2.0,6.0,1.0,1.0,3.0,232.0
3620,None,858.0,123.0,2.0,3.0,1.0,1.0,3.0,44.0
3630,None,852.0,129.0,2.5,1.5,1.0,1.0,3.0,164.0
3631,None,800.0,136.0,3.0,2.0,1.0,1.0,4.0,487.0
3640,None,852.0,110.0,2.0,2.0,1.0,2.0,2.0,210.0
3650,None,800.0,137.5,2.5,2.0,1.0,2.0,3.0,244.0
3690,None,800.0,209.0,4.0,2.0,1.0,2.0,4.0,533.0
3700,None,800.0,132.0,3.0,1.0,1.0,2.0,2.0,0.0
3740,None,800.0,119.5,2.0,2.5,1.0,2.0,2.0,153.0
3800,None,931.0,129.5,3.0,3.0,1.0,1.0,2.0,196.5
3806,None,591.5,158.0,3.0,3.0,1.0,1.0,3.0,360.5
3830,None,773.0,123.0,2.0,1.0,1.0,1.0,4.0,71.5
3832,None,800.0,156.0,3.0,4.0,1.0,2.0,2.0,292.0
3840,None,800.0,197.0,3.0,3.0,1.5,1.5,3.0,301.0
3870,None,454.0,198.0,2.5,3.0,1.0,2.0,3.0,508.0
3900,None,800.0,86.0,2.0,2.5,1.0,1.0,2.5,232.0
3920,None,959.0,117.5,2.5,3.0,1.0,1.0,2.0,232.0
3930,None,1670.0,313.0,4.0,3.0,2.0,1.0,3.0,108.0
3945,None,800.0,212.0,3.0,3.0,1.5,2.0,3.0,325.5
3950,None,800.0,73.0,2.0,3.0,1.0,1.0,3.0,188.0
3970,None,882.0,115.5,2.5,3.0,1.0,1.0,2.0,104.0
3971,None,800.0,349.0,6.0,3.0,3.0,2.0,2.0,78.0
3980,None,798.0,115.5,2.5,3.0,1.0,2.0,3.0,287.0
3990,None,800.0,144.0,3.0,3.0,1.0,2.0,3.0,246.0
4000,liege,910.5,107.0,2.0,3.0,1.0,1.0,2.0,240.0
4020,liege,842.5,104.0,2.0,3.0,1.0,1.0,2.0,270.0
4030,None,745.5,119.0,2.0,2.0,1.0,1.0,2.0,315.0
4031,None,959.0,95.0,2.0,3.0,1.0,1.0,2.0,45.0
4032,None,456.0,97.5,2.0,2.0,1.0,1.0,2.0,272.0
4040,None,733.0,118.5,3.0,2.0,1.0,1.0,2.0,340.0
4041,None,710.0,157.5,3.0,1.5,1.0,2.0,3.0,451.0
4042,None,731.0,130.0,3.5,2.5,1.0,2.0,3.5,308.5
4050,None,1518.0,149.0,3.0,1.0,1.0,1.0,3.0,585.0
4051,None,800.0,170.0,4.0,2.0,1.0,1.0,2.0,251.0
4052,None,800.0,80.0,2.0,3.0,1.0,1.0,4.0,241.0
4100,seraing,684.0,95.0,2.0,2.0,1.0,1.0,2.0,300.0
4101,None,728.0,95.0,2.0,3.0,1.0,1.0,2.0,177.5
4102,None,478.0,106.5,2.0,2.0,1.0,1.0,2.0,387.0
4120,None,800.0,136.0,3.0,3.0,1.0,1.0,4.0,232.0
4121,None,800.0,108.0,3.0,2.0,1.0,1.0,2.0,116.0
4122,None,1817.0,119.0,3.0,3.0,1.0,1.0,4.0,339.0
4130,None,989.0,160.0,3.0,2.0,1.0,2.0,3.0,326.0
4140,None,1005.5,180.0,3.0,2.0,1.0,2.0,3.0,312.0
4141,None,676.0,119.0,2.5,2.0,1.0,1.0,3.0,259.0
4160,None,483.0,155.0,4.0,2.0,1.0,1.0,2.0,582.0
4170,None,473.0,106.0,3.0,2.0,1.0,2.0,3.5,273.5
4171,None,406.0,211.5,3.0,2.0,1.0,2.0,3.0,359.5
4190,None,868.5,174.0,3.0,2.0,1.0,2.0,4.0,411.0
4217,None,309.0,160.0,3.0,1.0,1.0,2.0,4.0,526.0
4218,None,746.0,196.0,3.0,2.0,1.0,1.5,4.0,519.0
4260,None,540.0,151.0,3.0,2.0,1.0,2.0,4.0,339.0
4261,None,1186.0,190.0,3.0,2.0,2.0,2.0,4.0,475.0
4280,None,743.0,116.5,3.0,2.0,1.0,2.0,3.0,254.5
4287,None,451.0,139.0,2.0,2.0,2.0,3.0,4.0,326.0
4300,None,790.0,103.0,2.0,3.0,2.0,2.0,3.0,336.0
4350,None,582.0,123.0,3.0,3.0,1.0,2.5,3.0,252.5
4351,None,733.0,121.0,2.0,3.0,1.0,1.0,4.0,232.0
4357,None,605.0,115.5,2.0,2.0,1.0,1.5,4.0,420.0
4360,None,500.5,108.0,2.0,2.0,1.0,1.0,3.5,305.0
4400,None,511.5,120.0,3.0,2.0,1.0,1.0,3.0,334.0
4420,None,401.0,85.0,2.0,1.0,1.0,1.0,3.0,399.0
4430,None,627.0,98.0,2.0,2.0,1.0,1.0,2.0,386.5
4431,None,1340.0,183.5,2.0,3.0,1.5,2.0,2.5,119.0
4432,None,1092.5,134.0,3.0,2.0,1.0,2.0,3.0,326.0
4450,None,755.0,110.0,2.0,3.0,1.0,1.0,3.0,162.5
4451,None,729.5,125.5,2.5,1.0,1.0,1.5,3.0,422.0
4452,None,852.0,141.0,2.5,1.0,1.0,1.5,3.0,239.5
4458,None,794.0,110.0,2.5,2.0,1.0,1.0,4.0,259.5
4460,None,734.0,147.0,3.0,2.0,1.0,2.0,3.0,308.5
4480,None,331.5,94.0,1.5,2.0,1.0,1.0,4.0,342.5
4500,None,1084.5,110.0,2.0,4.0,1.0,2.0,4.0,177.0
4520,None,327.0,120.0,3.0,3.0,1.0,1.0,3.0,416.0
4530,None,761.0,159.5,3.0,2.0,1.0,1.0,4.0,380.0
4537,None,844.0,179.0,3.5,1.0,1.0,2.0,3.0,196.0
4557,None,992.5,181.0,4.0,1.5,1.0,2.0,4.0,118.0
4560,None,563.0,162.5,3.0,2.0,1.0,2.0,3.0,304.0
4577,None,663.5,114.5,3.0,1.0,1.0,1.0,2.0,597.0
4600,None,738.5,133.0,3.0,2.0,1.0,2.0,3.0,258.0
4601,None,800.0,180.0,4.0,1.0,2.0,3.0,4.0,766.0
4602,None,526.5,155.0,3.0,2.0,1.0,1.0,3.0,549.5
4607,None,800.0,185.0,4.0,3.0,1.0,1.0,3.0,372.0
4620,None,777.0,81.5,1.0,3.0,1.0,1.0,4.0,50.0
4621,None,657.0,146.0,3.0,1.5,1.0,1.5,3.0,312.0
4624,None,664.0,172.0,3.0,2.0,1.0,1.5,3.0,64.0
4630,None,674.0,143.5,3.0,2.0,1.0,2.0,3.5,196.5
4632,None,352.0,170.0,4.0,3.0,2.0,1.0,3.0,465.0
4633,None,375.0,125.0,2.5,2.0,1.0,1.0,3.0,443.0
4650,None,823.0,97.0,2.0,2.0,1.0,2.0,3.0,238.0
4651,None,1417.0,228.0,4.0,1.0,1.5,3.0,4.0,266.0
4652,None,844.0,162.0,3.0,3.0,1.0,1.0,4.0,216.5
4653,None,1445.0,266.0,4.0,3.0,1.0,2.0,4.0,245.0
4654,None,1062.0,300.0,4.0,2.0,1.0,2.0,3.0,304.0
4670,None,705.0,150.0,4.0,1.0,1.0,1.0,3.0,311.0
4671,None,717.0,149.0,3.0,2.0,1.0,1.5,3.0,348.0
4672,None,800.0,154.0,3.0,2.0,2.0,2.0,4.0,690.0
4680,None,830.0,100.0,2.0,5.0,1.0,1.0,3.0,245.0
4681,None,800.0,99.0,2.5,3.0,1.0,1.0,2.0,72.5
4682,None,359.0,118.0,4.0,2.0,1.0,1.0,3.0,303.0
4683,None,1440.0,188.0,4.0,2.0,2.0,2.0,3.0,124.0
4690,None,928.0,154.5,3.0,2.0,1.0,2.0,3.0,416.0
4700,None,1605.0,117.0,3.0,2.0,2.0,2.0,2.0,88.0
4701,None,800.0,142.5,3.5,3.0,1.0,1.0,3.0,232.0
4710,None,1224.0,155.0,2.0,3.0,1.0,1.5,3.5,273.0
4711,None,413.0,170.0,4.0,2.0,1.0,1.0,3.0,398.0
4720,None,842.0,168.0,3.0,3.0,1.5,1.0,3.0,155.0
4730,None,593.0,117.0,2.0,3.0,1.0,1.0,2.0,369.0
4731,None,800.0,115.0,2.0,3.0,1.0,1.0,4.0,124.0
4750,None,2109.5,160.0,4.0,2.0,1.0,2.0,3.0,451.0
4760,None,1516.0,172.0,4.0,4.0,1.0,2.0,4.0,408.5
4770,None,800.0,161.0,5.0,3.0,2.0,1.0,3.0,321.0
4780,None,800.0,140.0,2.0,3.0,1.0,1.0,3.0,232.0
4790,None,800.0,290.0,10.0,3.0,2.0,1.0,4.0,232.0
4800,None,738.0,138.0,3.0,3.0,1.0,2.0,2.0,253.0
4801,None,1041.0,140.0,3.0,2.0,1.0,2.0,2.0,285.0
4802,None,1472.0,138.0,3.0,2.0,1.0,1.0,3.5,319.0
4820,None,712.5,145.0,3.0,3.0,1.0,2.0,2.0,282.5
4821,None,665.5,140.0,3.0,2.0,1.0,2.0,3.0,274.0
4837,None,1007.5,93.0,2.0,2.0,1.0,2.0,2.0,135.0
4840,None,1017.0,116.5,3.0,3.0,1.0,1.0,3.0,34.0
4845,None,1195.0,220.0,4.0,2.0,1.0,2.0,4.0,166.0
4860,None,696.0,235.0,3.0,1.5,1.5,1.0,3.5,148.0
4870,None,593.0,132.5,3.0,2.0,1.0,1.0,3.0,297.5
4890,None,800.0,160.0,3.0,2.0,1.0,2.0,4.0,218.5
4900,None,800.0,104.5,2.0,3.0,1.0,1.0,3.0,232.0
